,User-Agent,ip,url
43,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 5X Build/N4F26T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",208.69.129.170,/lauthors_titles
44,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 5X Build/N4F26T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",208.69.129.170,/
45,"Mozilla/5.0 (Linux; Android 7.1.1; Nexus 5X Build/N4F26T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Mobile Safari/537.36",208.69.129.170,/lauthors_titles
46,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
47,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
48,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/lauthors_titles
49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",192.168.11.27,/
50,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
51,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
52,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
53,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
54,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
55,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
56,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
57,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
58,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
59,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
60,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
61,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
62,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
63,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
64,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
65,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
66,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
67,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
68,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
69,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
70,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
71,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
72,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
73,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
74,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
75,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
76,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
77,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
78,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
79,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
80,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
81,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
82,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
83,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
84,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
85,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
86,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
87,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
88,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
89,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
90,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
91,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
92,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
93,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
94,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
95,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
96,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
97,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
98,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",192.168.11.27,/lauthors_titles
99,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/lauthors_titles
100,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",192.168.11.27,/
101,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",192.168.11.27,/hauthors_titles
102,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",192.168.11.27,/hauthors_titles
103,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",192.168.11.27,/lauthors_titles
104,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",192.168.11.27,/
105,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
106,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/lauthors_titles
107,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/
108,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",192.168.11.41,/hauthors_titles
109,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,208.69.130.45,/
110,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,208.69.130.45,/lauthors_titles
111,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,208.69.130.45,/lauthors_titles
112,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,208.69.130.45,/lauthors_titles
113,"Mozilla/5.0 (Linux; Android 5.1; XT1052 Build/LPAS23.12-15.5-1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36",42.106.122.242,/
114,"Mozilla/5.0 (Linux; Android 5.1; XT1052 Build/LPAS23.12-15.5-1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36",42.106.122.242,/
115,"Mozilla/5.0 (Linux; Android 5.1; XT1052 Build/LPAS23.12-15.5-1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36",42.106.122.242,/
116,"Mozilla/5.0 (Linux; Android 5.1; XT1052 Build/LPAS23.12-15.5-1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36",42.106.122.242,/
117,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,208.69.130.45,/
118,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:52.0) Gecko/20100101 Firefox/52.0,208.69.130.45,/
119,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:52.0) Gecko/20100101 Firefox/52.0,208.69.130.45,/lauthors_titles
120,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:52.0) Gecko/20100101 Firefox/52.0,208.69.130.45,/
121,127.0.0.1,Livingston,ligo
122,127.0.0.1,Livingston,ligo
123,127.0.0.1,Livingston,violin modes
124,127.0.0.1,Livingston,violin modes
125,127.0.0.1,Livingston,violin modes
126,127.0.0.1,Livingston,ligo
127,127.0.0.1,Livingston,ligo
128,127.0.0.1,Livingston,construction of ligo
129,127.0.0.1,Livingston,construction of ligo
130,127.0.0.1,Livingston,ligo
131,127.0.0.1,Livingston,building
132,127.0.0.1,Livingston,building
133,127.0.0.1,Livingston,construction
134,127.0.0.1,Livingston,construction
135,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/
136,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
137,127.0.0.1,Livingston,ligo
138,127.0.0.1,Livingston,ligo
139,127.0.0.1,Livingston,construction
140,127.0.0.1,Livingston,construction
141,127.0.0.1,Livingston,construction
142,127.0.0.1,Livingston,ligo
143,127.0.0.1,Livingston,ligo
144,127.0.0.1,Livingston,scatter noise
145,127.0.0.1,Livingston,scatter noise
146,127.0.0.1,Livingston,ligo
147,127.0.0.1,Livingston,ligo
148,127.0.0.1,Livingston,ligo
149,127.0.0.1,Livingston,build
150,127.0.0.1,Livingston,build
151,127.0.0.1,Livingston,build
152,127.0.0.1,Livingston,building
153,127.0.0.1,Livingston,building
154,127.0.0.1,Livingston,contruct
155,127.0.0.1,Livingston,construct
156,127.0.0.1,Livingston,construction
157,127.0.0.1,Livingston,built
158,127.0.0.1,Livingston,built
159,127.0.0.1,Livingston,construct
160,127.0.0.1,Livingston,construct
161,127.0.0.1,Livingston,built
162,127.0.0.1,Livingston,built
163,127.0.0.1,Livingston,build
164,127.0.0.1,Livingston,build
165,127.0.0.1,Livingston,built
166,127.0.0.1,Livingston,construct
167,127.0.0.1,Livingston,construct
168,127.0.0.1,Livingston,built
169,127.0.0.1,Livingston,built
170,127.0.0.1,Livingston,construct
171,127.0.0.1,Livingston,construct
172,127.0.0.1,Livingston,construct
173,127.0.0.1,Livingston,construct
174,127.0.0.1,Livingston,construct
175,127.0.0.1,Livingston,construct
176,127.0.0.1,Livingston,construct
177,127.0.0.1,Livingston,construct
178,127.0.0.1,Livingston,construct
179,127.0.0.1,Livingston,construct
180,127.0.0.1,Livingston,construct
181,127.0.0.1,Livingston,construct
182,127.0.0.1,Livingston,construct
183,127.0.0.1,Livingston,construct
184,127.0.0.1,Livingston,construct
185,127.0.0.1,Livingston,construct
186,127.0.0.1,Livingston,construct
187,127.0.0.1,Livingston,construct
188,127.0.0.1,Livingston,construct
189,127.0.0.1,Livingston,construct
190,127.0.0.1,Livingston,construct
191,127.0.0.1,Livingston,construction of ligo
192,127.0.0.1,Livingston,construction of ligo
193,127.0.0.1,Livingston,construction
194,127.0.0.1,Livingston,construction
195,127.0.0.1,Livingston,ligo
196,127.0.0.1,Livingston,violin mode
197,127.0.0.1,Livingston,scatter noise
198,127.0.0.1,Livingston,transient
199,127.0.0.1,Livingston,transient
200,127.0.0.1,Livingston,ligo cooling system
201,127.0.0.1,Livingston,ligo cooling system
202,127.0.0.1,Livingston,build
203,127.0.0.1,Livingston,build
204,127.0.0.1,Livingston,ligo
205,127.0.0.1,Livingston,ligo
206,127.0.0.1,Livingston,ligo
207,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
208,127.0.0.1,Livingston,ligo
209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
210,127.0.0.1,Livingston,ligo
211,127.0.0.1,Livingston,ligo
212,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
213,127.0.0.1,Livingston,ligo
214,127.0.0.1,Livingston,ligo
215,127.0.0.1,Livingston,ligo
216,127.0.0.1,Livingston,ligo
217,127.0.0.1,Livingston,ligo
218,127.0.0.1,Livingston,ligo
219,127.0.0.1,Livingston,ligo
220,127.0.0.1,Livingston,ligo
221,127.0.0.1,Livingston,ligo
222,127.0.0.1,Livingston,ligo
223,127.0.0.1,Livingston,ligo
224,127.0.0.1,Livingston,ligo
225,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
226,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
227,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
228,127.0.0.1,Livingston,ligo
229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
230,127.0.0.1,Livingston,what is ligo
231,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/
232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",127.0.0.1,/lauthors_titles
233,127.0.0.1,Livingston,ligo
234,127.0.0.1,Livingston,ligo
235,127.0.0.1,Livingston,ligo
236,127.0.0.1,Livingston,ligo
237,127.0.0.1,Livingston,ligo
238,127.0.0.1,Livingston,ligo
239,127.0.0.1,Livingston,ligo
240,127.0.0.1,Livingston,ligo
241,127.0.0.1,Livingston,ligo
242,127.0.0.1,Livingston,ligo
243,127.0.0.1,Livingston,ligo
244,127.0.0.1,Livingston,ligo
245,127.0.0.1,Livingston,ligo
246,127.0.0.1,Livingston,ligo
247,127.0.0.1,Livingston,ligo
248,127.0.0.1,Livingston,ligo
249,127.0.0.1,Livingston,ligo
250,127.0.0.1,Livingston,ligo
251,127.0.0.1,Livingston,ligo
252,127.0.0.1,Livingston,ligo
253,127.0.0.1,Livingston,ligo
254,127.0.0.1,Livingston,ligo
255,127.0.0.1,Livingston,ligo
256,127.0.0.1,Livingston,ligo
257,127.0.0.1,Livingston,ligo
258,127.0.0.1,Livingston,ligo
259,127.0.0.1,Livingston,ligo
